VITEEE Score,Category,Gender,Assigned College,Assigned Branch
117,General,Male,VIT Vellore,Mechanical
103,SC/ST,Female,VIT Chennai,Civil
121,OBC,Male,VIT Bhopal,EEE
99,EWS,Female,VIT AP,Biotech
118,General,Male,VIT Vellore,CSE
104,SC/ST,Female,VIT Chennai,ECE
122,OBC,Male,VIT Bhopal,Mechanical
100,EWS,Female,VIT AP,Civil
119,General,Male,VIT Vellore,EEE
105,SC/ST,Female,VIT Chennai,Biotech
123,OBC,Male,VIT Bhopal,CSE
101,EWS,Female,VIT AP,ECE
120,General,Male,VIT Vellore,Mechanical
106,SC/ST,Female,VIT Chennai,Civil
124,OBC,Male,VIT Bhopal,EEE
102,EWS,Female,VIT AP,Biotech
125,General,Male,VIT Vellore,CSE
107,SC/ST,Female,VIT Chennai,ECE
110,OBC,Male,VIT Bhopal,Mechanical
108,EWS,Female,VIT AP,Civil
115,General,Male,VIT Vellore,EEE
109,SC/ST,Female,VIT Chennai,Biotech
113,OBC,Male,VIT Bhopal,CSE
111,EWS,Female,VIT AP,ECE
116,General,Male,VIT Vellore,Mechanical
112,SC/ST,Female,VIT Chennai,Civil
114,OBC,Male,VIT Bhopal,EEE
98,EWS,Female,VIT AP,Biotech
95,General,Male,VIT Vellore,CSE
97,SC/ST,Female,VIT Chennai,ECE
94,OBC,Male,VIT Bhopal,Mechanical
96,EWS,Female,VIT AP,Civil
93,General,Male,VIT Vellore,EEE
91,SC/ST,Female,VIT Chennai,Biotech
92,OBC,Male,VIT Bhopal,CSE
90,EWS,Female,VIT AP,ECE
89,General,Male,VIT Vellore,Mechanical
87,SC/ST,Female,VIT Chennai,Civil
88,OBC,Male,VIT Bhopal,EEE
86,EWS,Female,VIT AP,Biotech
85,General,Male,VIT Vellore,CSE
83,SC/ST,Female,VIT Chennai,ECE
84,OBC,Male,VIT Bhopal,Mechanical
82,EWS,Female,VIT AP,Civil
81,General,Male,VIT Vellore,EEE
79,SC/ST,Female,VIT Chennai,Biotech
80,OBC,Male,VIT Bhopal,CSE
78,EWS,Female,VIT AP,ECE
77,General,Male,VIT Vellore,Mechanical
75,SC/ST,Female,VIT Chennai,Civil
76,OBC,Male,VIT Bhopal,EEE
74,EWS,Female,VIT AP,Biotech
73,General,Male,VIT Vellore,CSE
71,SC/ST,Female,VIT Chennai,ECE
72,OBC,Male,VIT Bhopal,Mechanical
70,EWS,Female,VIT AP,Civil
69,General,Male,VIT Vellore,EEE
67,SC/ST,Female,VIT Chennai,Biotech
68,OBC,Male,VIT Bhopal,CSE
66,EWS,Female,VIT AP,ECE
65,General,Male,VIT Vellore,Mechanical
63,SC/ST,Female,VIT Chennai,Civil
64,OBC,Male,VIT Bhopal,EEE
62,EWS,Female,VIT AP,Biotech
61,General,Male,VIT Vellore,CSE
59,SC/ST,Female,VIT Chennai,ECE
60,OBC,Male,VIT Bhopal,Mechanical
58,EWS,Female,VIT AP,Civil
95,SC/ST,Male,VIT Vellore,CSE
87,OBC,Female,VIT Chennai,ECE
102,EWS,Male,VIT Bhopal,Mechanical
80,General,Female,VIT AP,Civil
110,SC/ST,Male,VIT Vellore,EEE
78,OBC,Female,VIT Chennai,Biotech
93,EWS,Male,VIT Bhopal,CSE
85,General,Female,VIT AP,ECE
100,SC/ST,Male,VIT Vellore,Mechanical
82,OBC,Female,VIT Chennai,Civil
98,EWS,Male,VIT Bhopal,EEE
75,General,Female,VIT AP,Biotech
108,SC/ST,Male,VIT Vellore,CSE
83,OBC,Female,VIT Chennai,ECE
96,EWS,Male,VIT Bhopal,Mechanical
79,General,Female,VIT AP,Civil
112,SC/ST,Male,VIT Vellore,EEE
77,OBC,Female,VIT Chennai,Biotech
94,EWS,Male,VIT Bhopal,CSE
88,General,Female,VIT AP,ECE
91,SC/ST,Male,VIT Vellore,Mechanical
84,OBC,Female,VIT Chennai,Civil
99,EWS,Male,VIT Bhopal,EEE
76,General,Female,VIT AP,Biotech
107,SC/ST,Male,VIT Vellore,CSE
81,OBC,Female,VIT Chennai,ECE
97,EWS,Male,VIT Bhopal,Mechanical
86,General,Female,VIT AP,Civil
105,SC/ST,Male,VIT Vellore,EEE
73,OBC,Female,VIT Chennai,Biotech
92,EWS,Male,VIT Bhopal,CSE
89,General,Female,VIT AP,ECE
103,SC/ST,Male,VIT Vellore,Mechanical
74,OBC,Female,VIT Chennai,Civil
101,EWS,Male,VIT Bhopal,EEE
72,General,Female,VIT AP,Biotech
109,SC/ST,Male,VIT Vellore,CSE
90,OBC,Female,VIT Chennai,ECE
104,EWS,Male,VIT Bhopal,Mechanical
69,General,Female,VIT AP,Civil
115,SC/ST,Male,VIT Vellore,CSE
67,OBC,Female,VIT Chennai,ECE
118,EWS,Male,VIT Bhopal,Mechanical
64,General,Female,VIT AP,Civil
122,SC/ST,Male,VIT Vellore,EEE
70,OBC,Female,VIT Chennai,Biotech
113,EWS,Male,VIT Bhopal,CSE
68,General,Female,VIT AP,ECE
111,SC/ST,Male,VIT Vellore,Mechanical
65,,Female,VIT Chennai,Civil
117,General,Male,VIT Vellore,EEE
63,SC/ST,Female,VIT Chennai,Biotech
